Area,Price/area
0,20
1,18
1.3,17.7
1.6,17.3
2,17
2.5,16.8
3,16.2
3.5,15.6
4,15
4.5,13
5,12
6,11
7,10.5
8,10
9,9.8
10,9.5
13,9.2
16,9
19,8.5
21,8
24,7.8
27,7.5
30,7.4
32,7.3
37,7.1
42,7
47,6.9
53,6.7
60,6.4
70,6.1
80,6
90,5.5
106,5
120,4.8
140,4.55
160,4.5
180,4.45
200,4.4
213,4.2
250,4.1
265,4
280,3.7
320,3.6
360,3.58
400,3.54
420,3.5
460,3.3
500,3.25
524,3.2
600,3.18
700,3.09
800,3
900,2.97
1000,2.95
